file,field,type,description,notes
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,scheme,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,type,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,coverage,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,delivery,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,source,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/government_health_schemes.csv,note,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,geography,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,period,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,indicator,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,value,float64,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,unit,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,source_note,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,source_organization,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/india_health_insurance_indicators.csv,data_status,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/policy_glossary.csv,term,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/policy_glossary.csv,plain_language_definition,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/policy_glossary.csv,category,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/policy_glossary.csv,unit,object,Dataset field,See source/data_status column where present
01_DATASETS/02_REAL_PUBLIC_DATA/policy_glossary.csv,data_status,object,Dataset field,See source/data_status column where present
01_DATASETS/01_KAGGLE_REFERENCE/states.csv,State,object,Dataset field,See source/data_status column where present
01_DATASETS/01_KAGGLE_REFERENCE/states.csv,Uninsured Rate (2010),object,Dataset field,See source/data_status column where present
01_DATASETS/01_KAGGLE_REFERENCE/states.csv,Uninsured Rate (2015),object,Dataset field,See source/data_status column where present
